row_type,check_type,case_id,test_type,purpose,suburb,state,postcode,tailgate,rank,expected_carrier,actual_carrier,carrier_status,expected_service,actual_service,service_status,expected_estimate_ex_gst,actual_estimate_ex_gst,difference,estimate_status,expected_total_weight_kg,actual_total_weight_kg,weight_status,expected_total_cubic_m3,actual_total_cubic_m3,cubic_status,actual_rating_cubic_m3,pallet_cubic_adjustment_m3,overall_status,validation_status,source_page,notes
rank_output,rank_output,RANDOM_001,random_excel_live,Random case generated from current Django database for Excel live validation.,METCALFE EAST,VIC,3444,NO,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,1754.52,1754.52,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_002,random_excel_live,Random case generated from current Django database for Excel live validation.,BRISK BAY,QLD,4805,NO,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,5306.96,5306.96,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_003,random_excel_live,Random case generated from current Django database for Excel live validation.,PORT HUGHES,SA,5558,YES,1,COCHRN,COCHRN,OK,ROAD,ROAD,OK,182.64,182.64,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_003,random_excel_live,Random case generated from current Django database for Excel live validation.,PORT HUGHES,SA,5558,YES,2,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,276.09,276.10,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_003,random_excel_live,Random case generated from current Django database for Excel live validation.,PORT HUGHES,SA,5558,YES,3,TFMX,TFMX,OK,ROAD,ROAD,OK,341.66,341.66,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_005,random_excel_live,Random case generated from current Django database for Excel live validation.,RELBIA,TAS,7258,NO,1,TEAMTAS,TEAMTAS,OK,GENERAL,GENERAL,OK,1433.17,1433.17,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
component_totals,component_totals,RANDOM_001,random_excel_live,Random case generated from current Django database for Excel live validation.,METCALFE EAST,VIC,3444,NO,,,TEAMEX,,,ROAD,,,1754.52,,,7911,7911.0000,OK,10.556999999999999,10.557000,OK,10.677000,0.12,OK,generated_from_excel_live,Microsoft Excel automation,Totals read from configured Calculator cells.
component_totals,component_totals,RANDOM_002,random_excel_live,Random case generated from current Django database for Excel live validation.,BRISK BAY,QLD,4805,NO,,,TEAMEX,,,ROAD,,,5306.96,,,5470,5470.0000,OK,6.105,6.105000,OK,6.185000,0.08,OK,generated_from_excel_live,Microsoft Excel automation,Totals read from configured Calculator cells.
component_totals,component_totals,RANDOM_003,random_excel_live,Random case generated from current Django database for Excel live validation.,PORT HUGHES,SA,5558,YES,,,COCHRN,,,ROAD,,,182.64,,,142.5,142.5000,OK,0.042,0.042000,OK,0.062000,0.02,OK,generated_from_excel_live,Microsoft Excel automation,Totals read from configured Calculator cells.
component_totals,component_totals,RANDOM_004,random_excel_live,Random case generated from current Django database for Excel live validation.,CAMPBELL,ACT,2612,NO,,,TEAMEX,,,ROAD,,,4506.26,,,11700,11700.0000,OK,15.065,15.065000,OK,15.145000,0.08,OK,generated_from_excel_live,Microsoft Excel automation,Totals read from configured Calculator cells.
component_totals,component_totals,RANDOM_005,random_excel_live,Random case generated from current Django database for Excel live validation.,RELBIA,TAS,7258,NO,,,TEAMTAS,,,GENERAL,,,1433.17,,,2806,2806.0000,OK,7.888999999999999,7.889000,OK,7.929000,0.04,OK,generated_from_excel_live,Microsoft Excel automation,Totals read from configured Calculator cells.
