row_type,check_type,case_id,test_type,purpose,suburb,state,postcode,tailgate,rank,expected_carrier,actual_carrier,carrier_status,expected_service,actual_service,service_status,expected_estimate_ex_gst,actual_estimate_ex_gst,difference,estimate_status,expected_total_weight_kg,actual_total_weight_kg,weight_status,expected_total_cubic_m3,actual_total_cubic_m3,cubic_status,actual_rating_cubic_m3,pallet_cubic_adjustment_m3,overall_status,validation_status,source_page,notes
rank_output,rank_output,CASE_001,Volumetric interstate / zone-rate lookup,"Validate VIC destination, volumetric SKU, interstate carrier ranking, Tailgate NO.",CAROLINE SPRINGS,VIC,3023,NO,1,KTI,KTI,OK,GENERAL,GENERAL,OK,619.36,619.36,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_001,Volumetric interstate / zone-rate lookup,"Validate VIC destination, volumetric SKU, interstate carrier ranking, Tailgate NO.",CAROLINE SPRINGS,VIC,3023,NO,2,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,841.52,841.53,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_001,Volumetric interstate / zone-rate lookup,"Validate VIC destination, volumetric SKU, interstate carrier ranking, Tailgate NO.",CAROLINE SPRINGS,VIC,3023,NO,3,TFMX,TFMX,OK,ROAD,ROAD,OK,992.41,992.41,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_002,Base consolidation / SA ranking,"Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.",BLAIR ATHOL,SA,5084,NO,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,138.57,138.57,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_002,Base consolidation / SA ranking,"Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.",BLAIR ATHOL,SA,5084,NO,2,STEA,STEA,OK,ROAD,ROAD,OK,190.40,190.40,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_002,Base consolidation / SA ranking,"Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.",BLAIR ATHOL,SA,5084,NO,3,COCHRN,COCHRN,OK,ROAD,ROAD,OK,329.33,329.34,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_002,Base consolidation / SA ranking,"Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.",BLAIR ATHOL,SA,5084,NO,4,KTI,KTI,OK,GENERAL,GENERAL,OK,906.43,906.43,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_003,Heavy SKU accepted / SM460-A,"Validate heavy SKU accepted by carriers and ranking for SM460-A × 4, Tailgate NO.",BLAIR ATHOL,SA,5084,NO,1,STEA,STEA,OK,ROAD,ROAD,OK,133.28,133.28,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_003,Heavy SKU accepted / SM460-A,"Validate heavy SKU accepted by carriers and ranking for SM460-A × 4, Tailgate NO.",BLAIR ATHOL,SA,5084,NO,2,COCHRN,COCHRN,OK,ROAD,ROAD,OK,219.56,219.56,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_003,Heavy SKU accepted / SM460-A,"Validate heavy SKU accepted by carriers and ranking for SM460-A × 4, Tailgate NO.",BLAIR ATHOL,SA,5084,NO,3,KTI,KTI,OK,GENERAL,GENERAL,OK,610.56,610.57,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_003,Heavy SKU accepted / SM460-A,"Validate heavy SKU accepted by carriers and ranking for SM460-A × 4, Tailgate NO.",BLAIR ATHOL,SA,5084,NO,4,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,812.36,812.36,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_004,Volumetric + Tailgate / multiple lines,Validate high cubic shipment with Tailgate YES and multiple lines of same SKU.,BLAIR ATHOL,SA,5084,YES,1,STEA,STEA,OK,ROAD,ROAD,OK,316.84,316.84,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_004,Volumetric + Tailgate / multiple lines,Validate high cubic shipment with Tailgate YES and multiple lines of same SKU.,BLAIR ATHOL,SA,5084,YES,2,COCHRN,COCHRN,OK,ROAD,ROAD,OK,391.95,391.95,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_004,Volumetric + Tailgate / multiple lines,Validate high cubic shipment with Tailgate YES and multiple lines of same SKU.,BLAIR ATHOL,SA,5084,YES,3,KTI,KTI,OK,GENERAL,GENERAL,OK,943.50,943.50,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_004,Volumetric + Tailgate / multiple lines,Validate high cubic shipment with Tailgate YES and multiple lines of same SKU.,BLAIR ATHOL,SA,5084,YES,4,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,1104.88,1104.88,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_005,Tailgate comparison / base two SKUs,Validate effect of Tailgate YES against CASE_002 same products/location.,BLAIR ATHOL,SA,5084,YES,1,STEA,STEA,OK,ROAD,ROAD,OK,376.40,376.40,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_005,Tailgate comparison / base two SKUs,Validate effect of Tailgate YES against CASE_002 same products/location.,BLAIR ATHOL,SA,5084,YES,2,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,453.57,453.57,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_005,Tailgate comparison / base two SKUs,Validate effect of Tailgate YES against CASE_002 same products/location.,BLAIR ATHOL,SA,5084,YES,3,COCHRN,COCHRN,OK,ROAD,ROAD,OK,470.33,470.34,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_005,Tailgate comparison / base two SKUs,Validate effect of Tailgate YES against CASE_002 same products/location.,BLAIR ATHOL,SA,5084,YES,4,KTI,KTI,OK,GENERAL,GENERAL,OK,1128.43,1128.43,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_006,Heavy SKU + Tailgate / SM460,Validate heavy SM460 × 4 with Tailgate YES.,BLAIR ATHOL,SA,5084,YES,1,STEA,STEA,OK,ROAD,ROAD,OK,257.28,257.28,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_006,Heavy SKU + Tailgate / SM460,Validate heavy SM460 × 4 with Tailgate YES.,BLAIR ATHOL,SA,5084,YES,2,COCHRN,COCHRN,OK,ROAD,ROAD,OK,313.56,313.56,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_006,Heavy SKU + Tailgate / SM460,Validate heavy SM460 × 4 with Tailgate YES.,BLAIR ATHOL,SA,5084,YES,3,KTI,KTI,OK,GENERAL,GENERAL,OK,758.56,758.57,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_006,Heavy SKU + Tailgate / SM460,Validate heavy SM460 × 4 with Tailgate YES.,BLAIR ATHOL,SA,5084,YES,4,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,1022.36,1022.36,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_007,Volumetric interstate + Tailgate,Validate VIC volumetric SKU with Tailgate YES against CASE_001.,CAROLINE SPRINGS,VIC,3020,YES,1,KTI,KTI,OK,GENERAL,GENERAL,OK,656.36,656.36,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_007,Volumetric interstate + Tailgate,Validate VIC volumetric SKU with Tailgate YES against CASE_001.,CAROLINE SPRINGS,VIC,3020,YES,2,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,946.52,946.53,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_007,Volumetric interstate + Tailgate,Validate VIC volumetric SKU with Tailgate YES against CASE_001.,CAROLINE SPRINGS,VIC,3020,YES,3,TFMX,TFMX,OK,ROAD,ROAD,OK,1052.41,1052.41,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_008,Minimum/simple single SKU,"Validate small single SKU 20772 × 1, minimum/base charge and ranking.",BLAIR ATHOL,SA,5084,NO,1,STEA,STEA,OK,ROAD,ROAD,OK,47.60,47.60,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_008,Minimum/simple single SKU,"Validate small single SKU 20772 × 1, minimum/base charge and ranking.",BLAIR ATHOL,SA,5084,NO,2,COCHRN,COCHRN,OK,ROAD,ROAD,OK,54.89,54.89,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_008,Minimum/simple single SKU,"Validate small single SKU 20772 × 1, minimum/base charge and ranking.",BLAIR ATHOL,SA,5084,NO,3,TFMX,TFMX,OK,ROAD,ROAD,OK,63.97,63.98,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_008,Minimum/simple single SKU,"Validate small single SKU 20772 × 1, minimum/base charge and ranking.",BLAIR ATHOL,SA,5084,NO,4,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,67.70,67.71,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_008,Minimum/simple single SKU,"Validate small single SKU 20772 × 1, minimum/base charge and ranking.",BLAIR ATHOL,SA,5084,NO,5,KTI,KTI,OK,GENERAL,GENERAL,OK,166.77,166.78,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_009,Minimum/simple second SKU,"Validate single SKU 20985 × 1, different weight/cubic from CASE_008.",BLAIR ATHOL,SA,5084,NO,1,STEA,STEA,OK,ROAD,ROAD,OK,47.60,47.60,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_009,Minimum/simple second SKU,"Validate single SKU 20985 × 1, different weight/cubic from CASE_008.",BLAIR ATHOL,SA,5084,NO,2,COCHRN,COCHRN,OK,ROAD,ROAD,OK,54.89,54.89,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_009,Minimum/simple second SKU,"Validate single SKU 20985 × 1, different weight/cubic from CASE_008.",BLAIR ATHOL,SA,5084,NO,3,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,76.42,76.43,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_009,Minimum/simple second SKU,"Validate single SKU 20985 × 1, different weight/cubic from CASE_008.",BLAIR ATHOL,SA,5084,NO,4,KTI,KTI,OK,GENERAL,GENERAL,OK,166.77,166.78,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_010,Small two-SKU consolidation,Validate two SKUs with quantity 1 each and combined totals.,BLAIR ATHOL,SA,5084,NO,1,STEA,STEA,OK,ROAD,ROAD,OK,76.16,76.16,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_010,Small two-SKU consolidation,Validate two SKUs with quantity 1 each and combined totals.,BLAIR ATHOL,SA,5084,NO,2,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,90.46,90.46,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_010,Small two-SKU consolidation,Validate two SKUs with quantity 1 each and combined totals.,BLAIR ATHOL,SA,5084,NO,3,COCHRN,COCHRN,OK,ROAD,ROAD,OK,109.78,109.78,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_010,Small two-SKU consolidation,Validate two SKUs with quantity 1 each and combined totals.,BLAIR ATHOL,SA,5084,NO,4,KTI,KTI,OK,GENERAL,GENERAL,OK,314.70,314.71,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_011,Small two-SKU consolidation + Tailgate,Validate Tailgate YES on small two-SKU consolidation against CASE_010.,BLAIR ATHOL,SA,5084,YES,1,STEA,STEA,OK,ROAD,ROAD,OK,138.16,138.16,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_011,Small two-SKU consolidation + Tailgate,Validate Tailgate YES on small two-SKU consolidation against CASE_010.,BLAIR ATHOL,SA,5084,YES,2,COCHRN,COCHRN,OK,ROAD,ROAD,OK,156.78,156.78,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_011,Small two-SKU consolidation + Tailgate,Validate Tailgate YES on small two-SKU consolidation against CASE_010.,BLAIR ATHOL,SA,5084,YES,3,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,195.46,195.46,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_011,Small two-SKU consolidation + Tailgate,Validate Tailgate YES on small two-SKU consolidation against CASE_010.,BLAIR ATHOL,SA,5084,YES,4,KTI,KTI,OK,GENERAL,GENERAL,OK,388.70,388.71,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_012,Heavy escalation / SM460 qty 1,"Validate SM460 quantity 1, heavy/volumetric baseline and ranking.",BLAIR ATHOL,SA,5084,NO,1,STEA,STEA,OK,ROAD,ROAD,OK,47.60,47.60,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_012,Heavy escalation / SM460 qty 1,"Validate SM460 quantity 1, heavy/volumetric baseline and ranking.",BLAIR ATHOL,SA,5084,NO,2,COCHRN,COCHRN,OK,ROAD,ROAD,OK,54.89,54.89,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_012,Heavy escalation / SM460 qty 1,"Validate SM460 quantity 1, heavy/volumetric baseline and ranking.",BLAIR ATHOL,SA,5084,NO,3,KTI,KTI,OK,GENERAL,GENERAL,OK,166.77,166.78,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
