case_id,test_type,purpose,suburb,state,postcode,tailgate,preselect_sku_mode,validation_status,source_page,notes,sku_1,qty_1,sku_2,qty_2,sku_3,qty_3,sku_4,qty_4,sku_5,qty_5,sku_6,qty_6,sku_7,qty_7,sku_8,qty_8,sku_9,qty_9,sku_10,qty_10,sku_11,qty_11,sku_12,qty_12,measured_postcode_from_excel,generated_validation_status,generated_output_count
RANDOM_001,random_excel_live,Random case generated from current Django database for Excel live validation.,COLAC WEST,VIC,3250,YES,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,MAGNAT35RAL5002,3,,,,,,,,,,,,,,,,,,,,,,,3250,generated_from_excel_live,1
RANDOM_002,random_excel_live,Random case generated from current Django database for Excel live validation.,WATTLE FLAT,NSW,2795,YES,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,SM440-A RAL2002,3,,,,,,,,,,,,,,,,,,,,,,,2795,generated_from_excel_live,1
RANDOM_003,random_excel_live,Random case generated from current Django database for Excel live validation.,HAMPTON PARK,VIC,3976,NO,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,CM245-AS-SPKIT,3,MAESTRO2.32F,1,MAGIX35DS,2,,,,,,,,,,,,,,,,,,,3976,generated_from_excel_live,3
RANDOM_004,random_excel_live,Random case generated from current Django database for Excel live validation.,NORTH TURRAMURRA,NSW,2074,YES,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,ML-2.35-ARMS,1,MICRO3000RAL7016,2,MA250FL,3,,,,,,,,,,,,,,,,,,,2074,generated_from_excel_live,3
RANDOM_005,random_excel_live,Random case generated from current Django database for Excel live validation.,MONAK,NSW,2738,YES,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,SM245RAL5002,1,SM440-SGALV,3,,,,,,,,,,,,,,,,,,,,,2738,generated_from_excel_live,1
RANDOM_006,random_excel_live,Random case generated from current Django database for Excel live validation.,GIFFORD HILL,SA,5253,YES,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,ML-2.35-ARMS,3,LASER-2.2CP-B1PH,3,,,,,,,,,,,,,,,,,,,,,5253,generated_from_excel_live,2
RANDOM_007,random_excel_live,Random case generated from current Django database for Excel live validation.,WATCHEM,VIC,3482,NO,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,SM245-B,1,,,,,,,,,,,,,,,,,,,,,,,3482,generated_from_excel_live,1
RANDOM_008,random_excel_live,Random case generated from current Django database for Excel live validation.,DOOKIE COLLEGE,VIC,3647,NO,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,SMC30CABLED,3,MA265F,3,SM450-A,1,,,,,,,,,,,,,,,,,,,3647,generated_from_excel_live,1
RANDOM_009,random_excel_live,Random case generated from current Django database for Excel live validation.,CAPE RAOUL,TAS,7184,NO,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,MAGIX35DS,2,SM245RAL6001,2,SM245-BRAL5015,3,,,,,,,,,,,,,,,,,,,7184,generated_from_excel_live,1
RANDOM_010,random_excel_live,Random case generated from current Django database for Excel live validation.,NYMBOIDA,NSW,2460,YES,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,SM755,1,SM245RAL3001,3,,,,,,,,,,,,,,,,,,,,,2460,generated_from_excel_live,1
RANDOM_011,random_excel_live,Random case generated from current Django database for Excel live validation.,DARRAWEIT GUIM,VIC,3756,NO,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,MAESTRO2.35FP,3,CM245-AS-1PH,1,SM450-ARAL5002,1,,,,,,,,,,,,,,,,,,,3756,generated_from_excel_live,1
RANDOM_012,random_excel_live,Random case generated from current Django database for Excel live validation.,DAUAN ISLAND,QLD,4875,NO,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,MAESTRO2.32FARMS,2,,,,,,,,,,,,,,,,,,,,,,,4875,generated_from_excel_live,0
RANDOM_013,random_excel_live,Random case generated from current Django database for Excel live validation.,BO PEEP,VIC,3351,YES,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,SM440-SGALV,1,SP-SM270-P-1,1,,,,,,,,,,,,,,,,,,,,,3351,generated_from_excel_live,1
RANDOM_014,random_excel_live,Random case generated from current Django database for Excel live validation.,COLEBEE,NSW,2761,NO,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,MAESTRO2.35FPD,1,,,,,,,,,,,,,,,,,,,,,,,2761,generated_from_excel_live,3
RANDOM_015,random_excel_live,Random case generated from current Django database for Excel live validation.,TAMES,VIC,3666,NO,YES,generated_from_excel_live,Excel Calculator,Random case generated for Excel live validation.,SB40-MP-24-3PH,3,,,,,,,,,,,,,,,,,,,,,,,3666,generated_from_excel_live,1
