case_id,suburb_written,state_written,postcode_written,tailgate_written,preselect_written,suburb_readback,state_readback,postcode_readback,tailgate_readback,preselect_readback,formula_len_1,formula_width_1,formula_height_1,formula_weight_1,formula_cubic_1,total_weight_readback,total_cubic_readback,expected_sku_1,expected_sku_type_1,expected_qty_1,actual_sku_1,actual_qty_1,expected_sku_2,expected_sku_type_2,expected_qty_2,actual_sku_2,actual_qty_2,expected_sku_3,expected_sku_type_3,expected_qty_3,actual_sku_3,actual_qty_3,expected_sku_4,expected_sku_type_4,expected_qty_4,actual_sku_4,actual_qty_4,expected_sku_5,expected_sku_type_5,expected_qty_5,actual_sku_5,actual_qty_5,expected_sku_6,expected_sku_type_6,expected_qty_6,actual_sku_6,actual_qty_6,expected_sku_7,expected_sku_type_7,expected_qty_7,actual_sku_7,actual_qty_7,expected_sku_8,expected_sku_type_8,expected_qty_8,actual_sku_8,actual_qty_8,calclines_l3_status,calclines_o29_weight,calclines_p29_cubic,generated_output_count,rank1_carrier_readback,rank1_service_readback,rank1_estimate_readback
RANDOM_001,COLAC WEST,VIC,3250,YES,YES,COLAC WEST,VIC,3250,YES,YES,2.95,1.15,0.5,800,1.696,2497.5,1.696,MAGNAT35RAL5002,text,3,MAGNAT35RAL5002,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,2497.5,1.756,1,TEAMEX,ROAD,1037.67
RANDOM_002,WATTLE FLAT,NSW,2795,YES,YES,WATTLE FLAT,NSW,2795,YES,YES,4.45,0.7,0.8,1550,2.492,4747.5,2.492,SM440-A RAL2002,text,3,SM440-A RAL2002,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,4747.5,2.552,1,TEAMEX,ROAD,2031.20
RANDOM_003,HAMPTON PARK,VIC,3976,NO,YES,HAMPTON PARK,VIC,3976,NO,YES,0.18,0.16,0.09,210,0.545,3204,3.207,CM245-AS-SPKIT,text,3,CM245-AS-SPKIT,3,MAESTRO2.32F,text,1,MAESTRO2.32F,1,MAGIX35DS,text,2,MAGIX35DS,2,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,3204,3.327,3,KTI,GENERAL,427.67
RANDOM_004,NORTH TURRAMURRA,NSW,2074,YES,YES,NORTH TURRAMURRA,NSW,2074,YES,YES,1.2,0.8,0.5,260,0.48,4934,2.901,ML-2.35-ARMS,text,1,ML-2.35-ARMS,1,MICRO3000RAL7016,text,2,MICRO3000RAL7016,2,MA250FL,text,3,MA250FL,3,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,4934,3.021,3,TEAMEX,ROAD,1529.62
RANDOM_005,MONAK,NSW,2738,YES,YES,MONAK,NSW,2738,YES,YES,3,1.15,0.4,800,1.38,4530,3.3419999999999996,SM245RAL5002,text,1,SM245RAL5002,1,SM440-SGALV,text,3,SM440-SGALV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,4530,3.4219999999999997,1,TEAMEX,ROAD,3443.56
RANDOM_006,GIFFORD HILL,SA,5253,YES,YES,GIFFORD HILL,SA,5253,YES,YES,1.2,0.8,0.5,260,0.48,4275,3.958,ML-2.35-ARMS,text,3,ML-2.35-ARMS,3,LASER-2.2CP-B1PH,text,3,LASER-2.2CP-B1PH,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,4275,4.078,2,COCHRN,ROAD,758.06
RANDOM_007,WATCHEM,VIC,3482,NO,YES,WATCHEM,VIC,3482,NO,YES,2.95,1.15,0.5,800,1.696,832.5,1.696,SM245-B,text,1,SM245-B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,832.5,1.716,1,TEAMEX,ROAD,501.50
RANDOM_008,DOOKIE COLLEGE,VIC,3647,NO,YES,DOOKIE COLLEGE,VIC,3647,NO,YES,1.15,1.23,2.55,2164,14.43,13131.5,20.898,SMC30CABLED,text,3,SMC30CABLED,3,MA265F,text,3,MA265F,3,SM450-A,text,1,SM450-A,1,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,13131.5,21.038,1,TEAMEX,ROAD,4265.24
RANDOM_009,CAPE RAOUL,TAS,7184,NO,YES,CAPE RAOUL,TAS,7184,NO,YES,1.79,0.78,0.92,864,1.285,5955.5,4.361,MAGIX35DS,text,2,MAGIX35DS,2,SM245RAL6001,text,2,SM245RAL6001,2,SM245-BRAL5015,text,3,SM245-BRAL5015,3,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,5955.5,4.5009999999999994,1,TEAMTAS,GENERAL,1337.32
RANDOM_010,NYMBOIDA,NSW,2460,YES,YES,NYMBOIDA,NSW,2460,YES,YES,1.15,1.23,2.54,541,3.538,3071,4.917999999999999,SM755,text,1,SM755,1,SM245RAL3001,text,3,SM245RAL3001,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,3071,4.997999999999999,1,TEAMEX,ROAD,2327.40
