row_type,check_type,case_id,test_type,purpose,suburb,state,postcode,tailgate,rank,expected_carrier,actual_carrier,carrier_status,expected_service,actual_service,service_status,expected_estimate_ex_gst,actual_estimate_ex_gst,difference,estimate_status,expected_total_weight_kg,actual_total_weight_kg,weight_status,expected_total_cubic_m3,actual_total_cubic_m3,cubic_status,actual_rating_cubic_m3,pallet_cubic_adjustment_m3,overall_status,validation_status,source_page,notes
rank_output,rank_output,RANDOM_001,random_excel_live,Random case generated from current Django database for Excel live validation.,COLAC WEST,VIC,3250,YES,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,1037.67,1037.68,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_002,random_excel_live,Random case generated from current Django database for Excel live validation.,WATTLE FLAT,NSW,2795,YES,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,2031.20,2031.21,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_003,random_excel_live,Random case generated from current Django database for Excel live validation.,HAMPTON PARK,VIC,3976,NO,1,KTI,KTI,OK,GENERAL,GENERAL,OK,427.67,427.67,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_003,random_excel_live,Random case generated from current Django database for Excel live validation.,HAMPTON PARK,VIC,3976,NO,2,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,577.13,577.13,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_003,random_excel_live,Random case generated from current Django database for Excel live validation.,HAMPTON PARK,VIC,3976,NO,3,TFMX,TFMX,OK,ROAD,ROAD,OK,851.00,851.01,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_004,random_excel_live,Random case generated from current Django database for Excel live validation.,NORTH TURRAMURRA,NSW,2074,YES,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,1529.62,1529.63,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_004,random_excel_live,Random case generated from current Django database for Excel live validation.,NORTH TURRAMURRA,NSW,2074,YES,2,KTI,KTI,OK,GENERAL,GENERAL,OK,2264.06,2264.07,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_004,random_excel_live,Random case generated from current Django database for Excel live validation.,NORTH TURRAMURRA,NSW,2074,YES,3,TFMX,TFMX,OK,ROAD,ROAD,OK,2675.26,2675.26,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_005,random_excel_live,Random case generated from current Django database for Excel live validation.,MONAK,NSW,2738,YES,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,3443.56,3443.57,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_006,random_excel_live,Random case generated from current Django database for Excel live validation.,GIFFORD HILL,SA,5253,YES,1,COCHRN,COCHRN,OK,ROAD,ROAD,OK,758.06,758.06,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_006,random_excel_live,Random case generated from current Django database for Excel live validation.,GIFFORD HILL,SA,5253,YES,2,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,1299.11,1299.12,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_007,random_excel_live,Random case generated from current Django database for Excel live validation.,WATCHEM,VIC,3482,NO,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,501.50,501.51,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
